town,building_count,history_underfloor_buildings,history_abovefloor_buildings,history_total_buildings,history_total_rate,history_abovefloor_rate,r7_class_label,r7_confidence,r7_rate_lower,r7_rate_upper,r7_rank_by_lower,r7_rank_by_upper
中延一丁目,391,,,,,,0件,confirmed,0.0,0.0,10.0,10.0
中延三丁目,453,13,23,36,0.07947019867549669,0.05077262693156733,1-5件,uncertain,0.002207505518763797,0.011037527593818985,9.0,9.0
中延二丁目,558,21,30,51,0.0913978494623656,0.053763440860215055,6-15件,confirmed,0.010752688172043012,0.026881720430107527,7.0,7.0
中延五丁目,641,92,75,167,0.26053042121684866,0.11700468018720749,51-75件,confirmed,0.07956318252730109,0.11700468018720749,4.0,4.0
中延六丁目,508,119,99,218,0.42913385826771655,0.19488188976377951,31-50件,confirmed,0.0610236220472441,0.0984251968503937,5.0,5.0
中延四丁目,770,6,3,9,0.011688311688311689,0.003896103896103896,6-15件,confirmed,0.007792207792207792,0.01948051948051948,8.0,8.0
二葉一丁目,774,120,47,167,0.2157622739018088,0.060723514211886306,76-110件,confirmed,0.09819121447028424,0.1421188630490956,2.0,2.0
二葉三丁目,653,60,99,159,0.2434915773353752,0.15160796324655437,76-110件,confirmed,0.11638591117917305,0.16845329249617153,1.0,1.0
二葉二丁目,566,52,81,133,0.23498233215547704,0.1431095406360424,51-75件,confirmed,0.09010600706713781,0.13250883392226148,3.0,3.0
二葉四丁目,736,11,27,38,0.051630434782608696,0.036684782608695655,31-50件,confirmed,0.042119565217391304,0.06793478260869565,6.0,6.0
