org_land_use,common_class,area_m2,org_name,category_outside_buildings,confidence,rationale,share
1310,211,496258.3,独立住宅,駐車場等の不浸透面,low,宅地系。庭・植栽を含むが、密集住宅地の建物外は駐車・通路の舗装が多いと仮定。フェーズ1の感度分析の主対象,0.2701
1320,211,436246.3,集合住宅,駐車場等の不浸透面,low,宅地系。建物外は駐車・通路の舗装が多いと仮定。フェーズ1の感度分析の主対象,0.2375
5100,215,333910.1,道路,道路・舗装,high,道路用地。街路樹帯等を含む,0.1818
1230,211,127620.5,住商併用建物,駐車場等の不浸透面,low,宅地系。密集市街地の建物外（通路・駐車・庭）は舗装が多いと仮定,0.0695
3002,217,81375.7,公園、運動場等_その他,緑地,medium,公園・運動場・墓園。広場の舗装部分を含む,0.0443
2102,222,61056.3,屋外利用地・仮設建物_屋外駐車場,駐車場等の不浸透面,medium,平面駐車場。砂利敷きの場合は浸透する,0.0332
1121,214,56217.3,教育文化施設_教育施設,緑地,low,校庭は土・人工芝が多いと仮定。舗装校庭もあり個別確認が必要,0.0306
1420,211,43488.3,住居併用工場,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0237
1210,212,36069.9,事務所建築物,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0196
5200,216,36008.4,鉄道・港湾等,水面・その他,low,砕石軌道は一部浸透、高架・地下区間は流出特性が異なる。フェーズ1で個別に係数を設定,0.0196
1123,214,20766.3,教育文化施設_宗教施設,緑地,low,境内・墓地は土・植栽が多いと仮定,0.0113
1110,214,19763.4,官公庁施設,駐車場等の不浸透面,low,宅地系。敷地内の建物外（通路・駐車場・植栽）は舗装が多いと仮定,0.0108
1132,214,15584.7,厚生医療施設_厚生施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0085
4000,224,14778.0,未利用地等,緑地,low,空地・空家等。土・雑草地が多いと仮定。舗装された跡地もあり得る,0.008
1431,216,12382.5,倉庫運輸関係施設_運輸施設等,駐車場等の不浸透面,medium,車両の出入りがあり舗装が大半,0.0067
1410,213,11699.5,専用工場,駐車場等の不浸透面,medium,工場敷地の建物外は舗装が大半,0.0064
1221,212,9461.3,専用商業施設_商業施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0052
1131,214,8286.1,厚生医療施設_医療施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0045
1432,216,4146.4,倉庫運輸関係施設_倉庫施設等,駐車場等の不浸透面,medium,車両の出入りがあり舗装が大半,0.0023
1122,214,3265.5,教育文化施設_文化施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0018
1242,212,3143.1,宿泊・遊興施設_遊興施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0017
1251,214,2526.4,スポーツ・興行施設_スポーツ施設,駐車場等の不浸透面,low,屋外運動場は土・人工芝の場合がある。個別確認が必要,0.0014
1222,214,1955.5,専用商業施設_公衆浴場等,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0011
1252,212,732.1,スポーツ・興行施設_興行施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0004
6120,202,92.8,畑,緑地,high,農地,0.0001
1241,212,84.0,宿泊・遊興施設_宿泊施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0
1141,214,77.2,供給処理施設_供給施設,駐車場等の不浸透面,low,宅地系。建物外は舗装が多いと仮定,0.0
2103,223,39.9,屋外利用地・仮設建物_その他,駐車場等の不浸透面,low,資材置場・仮設建物等。舗装状況は不明,0.0
