area_name,area_m2,luse_features,coverage_ratio,gap_m2,overlap_m2,unknown_class_m2,unmapped_class_m2,survey_years,building_on_road_m2,building_on_road_ratio,share_建物・屋根,share_道路・舗装,share_駐車場等の不浸透面,share_緑地,share_水面・その他,share_low_confidence
対象範囲全体（バッファ込み）,1837035.9,4784,1.0,0.0,0.0,0.0,0.0,2021,351.7,0.000452,0.4231,0.1816,0.2988,0.0773,0.0192,0.3143
中延一丁目,74688.5,174,1.0,0.0,0.0,0.0,0.0,2021,0.0,0.0,0.4544,0.1928,0.274,0.0788,0.0,0.3278
中延三丁目,73713.6,204,1.0,0.0,0.0,0.0,0.0,2021,15.7,0.00045,0.4732,0.1652,0.324,0.014,0.0236,0.3106
中延二丁目,85492.5,296,1.0,0.0,0.0,0.0,0.0,2021,3.1,7.8e-05,0.4728,0.1676,0.3501,0.0094,0.0,0.3293
中延五丁目,104584.4,308,1.0,0.0,0.0,0.0,0.0,2021,41.8,0.000877,0.4554,0.1873,0.3088,0.0318,0.0167,0.297
中延六丁目,91755.2,220,1.0,0.0,0.0,0.0,0.0,2021,38.6,0.000943,0.4469,0.1483,0.3189,0.0859,0.0,0.3525
中延四丁目,119061.1,337,1.0,0.0,0.0,0.0,0.0,2021,4.0,7.2e-05,0.4629,0.1514,0.343,0.0195,0.0232,0.334
二葉一丁目,160112.2,336,1.0,0.0,0.0,0.0,0.0,2021,71.3,0.001043,0.4268,0.1767,0.2508,0.1245,0.0213,0.361
二葉三丁目,95119.0,301,1.0,0.0,0.0,0.0,0.0,2021,19.5,0.00047,0.4373,0.1596,0.3031,0.0139,0.086,0.3663
二葉二丁目,97939.4,310,1.0,0.0,0.0,0.0,0.0,2021,35.2,0.000825,0.436,0.22,0.3299,0.0078,0.0063,0.2784
二葉四丁目,118522.9,327,1.0,0.0,0.0,0.0,0.0,2021,26.5,0.000526,0.4261,0.215,0.2716,0.0873,0.0,0.2885
