scenario_id,model_metric,record,target,normalization,n,spearman_rho,note
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,31年累計,history_total_buildings,正規化前（浸水棟数）,9,0.4268,
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,31年累計,history_total_rate,正規化後（床下＋床上／建物数）,9,0.4333,
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,31年累計,history_abovefloor_rate,正規化後（床上／建物数）,9,0.4333,
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,R7.9.11,r7_class_ordinal,正規化前（件数階級）,10,0.4602,
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,R7.9.11,r7_rate_lower,正規化後（階級下限／建物数）,10,0.4667,
sc_153mmh_24h_690mm_official,area_over_threshold_ratio,R7.9.11,r7_rate_upper,正規化後（階級上限／建物数）,10,0.4667,
sc_100mm_extreme,area_over_threshold_ratio,31年累計,history_total_buildings,正規化前（浸水棟数）,9,0.5356,
sc_100mm_extreme,area_over_threshold_ratio,31年累計,history_total_rate,正規化後（床下＋床上／建物数）,9,0.4,
sc_100mm_extreme,area_over_threshold_ratio,31年累計,history_abovefloor_rate,正規化後（床上／建物数）,9,0.4,
sc_100mm_extreme,area_over_threshold_ratio,R7.9.11,r7_class_ordinal,正規化前（件数階級）,10,0.6565,
sc_100mm_extreme,area_over_threshold_ratio,R7.9.11,r7_rate_lower,正規化後（階級下限／建物数）,10,0.6364,
sc_100mm_extreme,area_over_threshold_ratio,R7.9.11,r7_rate_upper,正規化後（階級上限／建物数）,10,0.6364,
sc_80mm_peak,area_over_threshold_ratio,31年累計,history_total_buildings,正規化前（浸水棟数）,9,0.6109,
sc_80mm_peak,area_over_threshold_ratio,31年累計,history_total_rate,正規化後（床下＋床上／建物数）,9,0.55,
sc_80mm_peak,area_over_threshold_ratio,31年累計,history_abovefloor_rate,正規化後（床上／建物数）,9,0.4833,
sc_80mm_peak,area_over_threshold_ratio,R7.9.11,r7_class_ordinal,正規化前（件数階級）,10,0.6565,
sc_80mm_peak,area_over_threshold_ratio,R7.9.11,r7_rate_lower,正規化後（階級下限／建物数）,10,0.6364,
sc_80mm_peak,area_over_threshold_ratio,R7.9.11,r7_rate_upper,正規化後（階級上限／建物数）,10,0.6364,
