step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,375929.6480793891,2885865.944336548
13,780.0,60.0,23.3478260869565,7.270000457763672,252410.95030775707,1831638.3256441802
14,840.0,60.0,23.3478260869565,7.220000743865967,168217.63754933025,669755.8819307721
15,900.0,60.0,23.3478260869565,7.1700005531311035,136371.51646096236,463415.5654128102
16,960.0,60.0,23.3478260869565,7.120000839233398,115076.9447965401,321777.69301921746
17,1020.0,60.0,23.3478260869565,7.070000648498535,100242.43758729013,246074.6922571248
18,1080.0,60.0,23.3478260869565,7.020000457763672,88751.87734333632,178656.34307074503
19,1140.0,60.0,23.3478260869565,6.970000743865967,80159.36934946672,148461.86914603942
20,1200.0,60.0,23.3478260869565,6.9200005531311035,73106.75702270557,122695.00515435939
21,1260.0,60.0,23.3478260869565,6.870000839233398,67420.99821334932,100944.94192666138
22,1320.0,60.0,23.3478260869565,6.820000648498535,62620.692479966085,87160.01203208677
23,1380.0,60.0,23.3478260869565,6.770000457763672,58514.4040171839,75292.19159304904
24,1440.0,60.0,23.3478260869565,6.720000743865967,54866.71504052309,67874.80381865046
