run,target,description,n,spearman_rho,note
current_uniform,history_total_buildings,31年累計 棟数（正規化前）,9,0.4268,
current_uniform,history_total_rate,31年累計 率（正規化後）,9,0.4333,
current_uniform,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4333,
current_uniform,r7_class,R7.9.11 階級（正規化前）,10,0.4602,
current_uniform,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4667,
adopted_v1_base,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
adopted_v1_base,history_total_rate,31年累計 率（正規化後）,9,0.3333,
adopted_v1_base,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
adopted_v1_base,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
adopted_v1_base,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
v2_bldg030,history_total_buildings,31年累計 棟数（正規化前）,9,0.3347,
v2_bldg030,history_total_rate,31年累計 率（正規化後）,9,0.25,
v2_bldg030,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3167,
v2_bldg030,r7_class,R7.9.11 階級（正規化前）,10,0.4786,
v2_bldg030,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4788,
v2_bldg050,history_total_buildings,31年累計 棟数（正規化前）,9,0.3347,
v2_bldg050,history_total_rate,31年累計 率（正規化後）,9,0.25,
v2_bldg050,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3167,
v2_bldg050,r7_class,R7.9.11 階級（正規化前）,10,0.4786,
v2_bldg050,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4788,
v2_bldg070,history_total_buildings,31年累計 棟数（正規化前）,9,0.4854,
v2_bldg070,history_total_rate,31年累計 率（正規化後）,9,0.45,
v2_bldg070,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.45,
v2_bldg070,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
v2_bldg070,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
