step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,174628.286635724,1275526.7474688329,1462544.6883110222,0.0,1287916.4016752997,-1.5133991837501526e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,120359.01371152152,785938.5025869161,0.0,54269.27292420248,0.0,1.4551915228366852e-11
14,840.0,60.0,23.3478260869565,7.220000743865967,88924.46865503716,372741.20021507144,0.0,31434.545056484378,0.0,0.0
15,900.0,60.0,23.3478260869565,7.1700005531311035,72079.13543352034,256755.38525663316,0.0,16845.33322151682,0.0,-1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.120000839233398,60975.34352430983,172625.36167638376,0.0,11103.791909210504,0.0,7.275957614183426e-12
17,1020.0,60.0,23.3478260869565,7.070000648498535,53095.712735638364,123815.42833076417,0.0,7879.630788671463,0.0,7.275957614183426e-12
18,1080.0,60.0,23.3478260869565,7.020000457763672,47291.99248572861,97137.70679727569,0.0,5803.7202499097575,0.0,-7.275957614183426e-12
19,1140.0,60.0,23.3478260869565,6.970000743865967,42763.62932483025,76827.71026081592,0.0,4528.363160898358,0.0,7.275957614183426e-12
20,1200.0,60.0,23.3478260869565,6.9200005531311035,39112.67639984794,63714.33724134043,0.0,3650.9529249823127,0.0,0.0
21,1260.0,60.0,23.3478260869565,6.870000839233398,36106.59295417321,53356.24496407062,0.0,3006.083445674723,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,33562.58912084671,45376.88994626701,0.0,2544.0038333265034,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,31386.397965306474,39972.166455350816,0.0,2176.1911555402394,0.0,-7.275957614183426e-12
24,1440.0,60.0,23.3478260869565,6.720000743865967,29467.94402514403,34973.8603884317,0.0,1918.453940162441,0.0,7.275957614183426e-12
