run,target,description,n,spearman_rho,note
current_uniform,history_total_buildings,31年累計 棟数（正規化前）,9,0.4268,
current_uniform,history_total_rate,31年累計 率（正規化後）,9,0.4333,
current_uniform,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4333,
current_uniform,r7_class,R7.9.11 階級（正規化前）,10,0.4602,
current_uniform,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4667,
plateau_base,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
plateau_base,history_total_rate,31年累計 率（正規化後）,9,0.3333,
plateau_base,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
plateau_base,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
plateau_base,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
plateau_low,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
plateau_low,history_total_rate,31年累計 率（正規化後）,9,0.3333,
plateau_low,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
plateau_low,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
plateau_low,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
plateau_high,history_total_buildings,31年累計 棟数（正規化前）,9,0.4435,
plateau_high,history_total_rate,31年累計 率（正規化後）,9,0.3667,
plateau_high,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4,
plateau_high,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
plateau_high,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
plateau_yardsgreen,history_total_buildings,31年累計 棟数（正規化前）,9,0.4603,
plateau_yardsgreen,history_total_rate,31年累計 率（正規化後）,9,0.35,
plateau_yardsgreen,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3833,
plateau_yardsgreen,r7_class,R7.9.11 階級（正規化前）,10,0.5706,
plateau_yardsgreen,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5636,
