town,record_rank_history_total_rate,record_rank_r7_class,current_uniform_area_over_threshold_ratio,current_uniform_rank,plateau_base_area_over_threshold_ratio,plateau_base_rank,plateau_low_area_over_threshold_ratio,plateau_low_rank,plateau_high_area_over_threshold_ratio,plateau_high_rank,plateau_yardsgreen_area_over_threshold_ratio,plateau_yardsgreen_rank
中延一丁目,,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0
中延三丁目,7.0,9.0,0.017557,3.0,0.012428,3.0,0.012034,3.0,0.012428,4.0,0.009666,5.0
中延二丁目,6.0,7.5,0.008351,8.0,0.006817,8.0,0.006817,8.0,0.006987,8.0,0.005794,8.0
中延五丁目,2.0,3.5,0.013695,5.0,0.01076,6.0,0.010341,6.0,0.011599,6.0,0.009502,6.0
中延六丁目,1.0,5.5,0.03506,2.0,0.026454,2.0,0.025339,2.0,0.029004,2.0,0.021673,2.0
中延四丁目,9.0,7.5,0.011306,7.0,0.0102,7.0,0.009955,7.0,0.010569,7.0,0.009217,7.0
二葉一丁目,5.0,1.5,0.017494,4.0,0.012365,4.0,0.011449,4.0,0.013006,3.0,0.010441,3.0
二葉三丁目,3.0,1.5,0.051361,1.0,0.044024,1.0,0.041731,1.0,0.045705,1.0,0.038062,1.0
二葉二丁目,4.0,3.5,0.007388,9.0,0.006797,9.0,0.006649,9.0,0.006944,9.0,0.005171,9.0
二葉四丁目,8.0,5.5,0.012463,6.0,0.011229,5.0,0.010735,5.0,0.011723,5.0,0.009872,4.0
