step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,221662.18340732908,1843812.539781846
13,780.0,60.0,23.3478260869565,7.270000457763672,143097.27816966944,1148731.5138131417
14,840.0,60.0,23.3478260869565,7.220000743865967,95913.21849269961,396645.4863620177
15,900.0,60.0,23.3478260869565,7.1700005531311035,78365.22802854693,268119.41222317517
16,960.0,60.0,23.3478260869565,7.120000839233398,66433.64656992901,182982.36931231245
17,1020.0,60.0,23.3478260869565,7.070000648498535,58091.247514762596,135618.12259344012
18,1080.0,60.0,23.3478260869565,7.020000457763672,51867.07483223575,102225.87620903552
19,1140.0,60.0,23.3478260869565,6.970000743865967,47043.924764335075,83090.27500614151
20,1200.0,60.0,23.3478260869565,6.9200005531311035,43120.62621036501,67748.72946465015
21,1260.0,60.0,23.3478260869565,6.870000839233398,39884.15992899025,57767.052882831544
22,1320.0,60.0,23.3478260869565,6.820000648498535,37143.08150272607,49290.993577282876
23,1380.0,60.0,23.3478260869565,6.770000457763672,34788.729894683565,43133.42335272208
24,1440.0,60.0,23.3478260869565,6.720000743865967,32703.143678670895,38692.2156008631
