step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,204991.36745775826,1834192.2482578456
13,780.0,60.0,23.3478260869565,7.270000457763672,126885.23678666138,1139622.9023779184
14,840.0,60.0,23.3478260869565,7.220000743865967,87579.50289563078,371366.74567484856
15,900.0,60.0,23.3478260869565,7.1700005531311035,71326.92549205778,236291.714655295
16,960.0,60.0,23.3478260869565,7.120000839233398,60564.811164984996,165909.43950838968
17,1020.0,60.0,23.3478260869565,7.070000648498535,53109.185932808294,120924.09599057585
18,1080.0,60.0,23.3478260869565,7.020000457763672,47503.07114305625,91927.86819877103
19,1140.0,60.0,23.3478260869565,6.970000743865967,43162.474104590554,75005.58273289725
20,1200.0,60.0,23.3478260869565,6.9200005531311035,39609.60770282474,61696.518747255206
21,1260.0,60.0,23.3478260869565,6.870000839233398,36667.015016569945,52211.63452458009
22,1320.0,60.0,23.3478260869565,6.820000648498535,34184.802059301684,44744.30434764922
23,1380.0,60.0,23.3478260869565,6.770000457763672,32039.702298122516,39505.187254007906
24,1440.0,60.0,23.3478260869565,6.720000743865967,30130.538433803697,35380.132835354656
