step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0
12,720.0,60.0,153.0,6.149998664855957,280324.4299439383,2653393.6001210897
13,780.0,60.0,23.3478260869565,6.099998474121094,170543.7302067335,1410855.622885452
14,840.0,60.0,23.3478260869565,6.049998760223389,116782.05469031232,500981.7816486873
15,900.0,60.0,23.3478260869565,5.999998569488525,94987.83659804398,316231.76923712867
16,960.0,60.0,23.3478260869565,5.94999885559082,80777.32326953854,216724.65940211993
17,1020.0,60.0,23.3478260869565,5.899998664855957,70985.21431787996,160010.17134248768
18,1080.0,60.0,23.3478260869565,5.849998474121094,63575.318029970615,121896.2095478857
19,1140.0,60.0,23.3478260869565,5.799998760223389,57812.43371716574,99598.40076146286
20,1200.0,60.0,23.3478260869565,5.749998569488525,53091.22909807657,81636.91098161152
21,1260.0,60.0,23.3478260869565,5.69999885559082,49192.3878391625,69746.26781096026
22,1320.0,60.0,23.3478260869565,5.649998664855957,45883.758773252266,59430.39312164283
23,1380.0,60.0,23.3478260869565,5.599998474121094,43028.73345738915,52492.282711128464
24,1440.0,60.0,23.3478260869565,5.549998760223389,40486.57642007118,47014.82712388028
