run,target,description,n,spearman_rho,note
v1_base,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
v1_base,history_total_rate,31年累計 率（正規化後）,9,0.3333,
v1_base,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
v1_base,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
v1_base,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
road050_base,history_total_buildings,31年累計 棟数（正規化前）,9,0.3933,
road050_base,history_total_rate,31年累計 率（正規化後）,9,0.3667,
road050_base,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4167,
road050_base,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
road050_base,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
v1_low,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
v1_low,history_total_rate,31年累計 率（正規化後）,9,0.3333,
v1_low,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
v1_low,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
v1_low,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
road050_low,history_total_buildings,31年累計 棟数（正規化前）,9,0.3933,
road050_low,history_total_rate,31年累計 率（正規化後）,9,0.3667,
road050_low,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4167,
road050_low,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
road050_low,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
v1_high,history_total_buildings,31年累計 棟数（正規化前）,9,0.4435,
v1_high,history_total_rate,31年累計 率（正規化後）,9,0.3667,
v1_high,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4,
v1_high,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
v1_high,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
road050_high,history_total_buildings,31年累計 棟数（正規化前）,9,0.3933,
road050_high,history_total_rate,31年累計 率（正規化後）,9,0.3667,
road050_high,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4167,
road050_high,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
road050_high,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
v1_yardsgreen,history_total_buildings,31年累計 棟数（正規化前）,9,0.4603,
v1_yardsgreen,history_total_rate,31年累計 率（正規化後）,9,0.35,
v1_yardsgreen,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3833,
v1_yardsgreen,r7_class,R7.9.11 階級（正規化前）,10,0.5706,
v1_yardsgreen,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5636,
road050_yardsgreen,history_total_buildings,31年累計 棟数（正規化前）,9,0.4686,
road050_yardsgreen,history_total_rate,31年累計 率（正規化後）,9,0.4167,
road050_yardsgreen,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4333,
road050_yardsgreen,r7_class,R7.9.11 階級（正規化前）,10,0.6135,
road050_yardsgreen,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.6,
