town,record_rank_history_total_rate,record_rank_r7_class,v1_base_area_over_threshold_ratio,v1_base_rank,road050_base_area_over_threshold_ratio,road050_base_rank,v1_low_area_over_threshold_ratio,v1_low_rank,road050_low_area_over_threshold_ratio,road050_low_rank,v1_high_area_over_threshold_ratio,v1_high_rank,road050_high_area_over_threshold_ratio,road050_high_rank,v1_yardsgreen_area_over_threshold_ratio,v1_yardsgreen_rank,road050_yardsgreen_area_over_threshold_ratio,road050_yardsgreen_rank
中延一丁目,,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0
中延三丁目,7.0,9.0,0.012428,3.0,0.010061,4.0,0.012034,3.0,0.009666,4.0,0.012428,4.0,0.010061,4.0,0.009666,5.0,0.008088,6.0
中延二丁目,6.0,7.5,0.006817,8.0,0.004601,9.0,0.006817,8.0,0.004601,9.0,0.006987,8.0,0.004772,9.0,0.005794,8.0,0.003749,9.0
中延五丁目,2.0,3.5,0.01076,6.0,0.009363,6.0,0.010341,6.0,0.009223,6.0,0.011599,6.0,0.009782,6.0,0.009502,6.0,0.008245,5.0
中延六丁目,1.0,5.5,0.026454,2.0,0.029323,2.0,0.025339,2.0,0.028367,2.0,0.029004,2.0,0.031554,2.0,0.021673,2.0,0.024542,2.0
中延四丁目,9.0,7.5,0.0102,7.0,0.009586,5.0,0.009955,7.0,0.00934,5.0,0.010569,7.0,0.009955,5.0,0.009217,7.0,0.008726,4.0
二葉一丁目,5.0,1.5,0.012365,4.0,0.013647,3.0,0.011449,4.0,0.012914,3.0,0.013006,3.0,0.014013,3.0,0.010441,3.0,0.011815,3.0
二葉三丁目,3.0,1.5,0.044024,1.0,0.041272,1.0,0.041731,1.0,0.039591,1.0,0.045705,1.0,0.042495,1.0,0.038062,1.0,0.036534,1.0
二葉二丁目,4.0,3.5,0.006797,9.0,0.006649,8.0,0.006649,9.0,0.006353,8.0,0.006944,9.0,0.006797,8.0,0.005171,9.0,0.005319,8.0
二葉四丁目,8.0,5.5,0.011229,5.0,0.008638,7.0,0.010735,5.0,0.008144,7.0,0.011723,5.0,0.009501,7.0,0.009872,4.0,0.007404,7.0
