run,target,description,n,spearman_rho,note
uniform,history_total_buildings,31年累計 棟数（正規化前）,9,0.4268,
uniform,history_total_rate,31年累計 率（正規化後）,9,0.4333,
uniform,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4333,
uniform,r7_class,R7.9.11 階級（正規化前）,10,0.4602,
uniform,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4667,
adopted_v1,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
adopted_v1,history_total_rate,31年累計 率（正規化後）,9,0.3333,
adopted_v1,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3667,
adopted_v1,r7_class,R7.9.11 階級（正規化前）,10,0.4356,
adopted_v1,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4424,
bldg030,history_total_buildings,31年累計 棟数（正規化前）,9,0.3347,
bldg030,history_total_rate,31年累計 率（正規化後）,9,0.25,
bldg030,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3167,
bldg030,r7_class,R7.9.11 階級（正規化前）,10,0.4786,
bldg030,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4788,
bldg050,history_total_buildings,31年累計 棟数（正規化前）,9,0.3347,
bldg050,history_total_rate,31年累計 率（正規化後）,9,0.25,
bldg050,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3167,
bldg050,r7_class,R7.9.11 階級（正規化前）,10,0.4786,
bldg050,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.4788,
bldg070,history_total_buildings,31年累計 棟数（正規化前）,9,0.4854,
bldg070,history_total_rate,31年累計 率（正規化後）,9,0.45,
bldg070,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.45,
bldg070,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
bldg070,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
road030,history_total_buildings,31年累計 棟数（正規化前）,9,0.3933,
road030,history_total_rate,31年累計 率（正規化後）,9,0.3667,
road030,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4167,
road030,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
road030,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
road050,history_total_buildings,31年累計 棟数（正規化前）,9,0.3933,
road050,history_total_rate,31年累計 率（正規化後）,9,0.3667,
road050,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.4167,
road050,r7_class,R7.9.11 階級（正規化前）,10,0.5276,
road050,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5273,
road030_bldg050,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
road030_bldg050,history_total_rate,31年累計 率（正規化後）,9,0.2333,
road030_bldg050,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3,
road030_bldg050,r7_class,R7.9.11 階級（正規化前）,10,0.5215,
road030_bldg050,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5152,
road050_bldg050,history_total_buildings,31年累計 棟数（正規化前）,9,0.3515,
road050_bldg050,history_total_rate,31年累計 率（正規化後）,9,0.2333,
road050_bldg050,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.3,
road050_bldg050,r7_class,R7.9.11 階級（正規化前）,10,0.5215,
road050_bldg050,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.5152,
road050_bldg070,history_total_buildings,31年累計 棟数（正規化前）,9,0.6109,
road050_bldg070,history_total_rate,31年累計 率（正規化後）,9,0.55,
road050_bldg070,history_abovefloor_rate,31年累計 床上率（正規化後）,9,0.5167,
road050_bldg070,r7_class,R7.9.11 階級（正規化前）,10,0.6197,
road050_bldg070,r7_rate_lower,R7.9.11 率（正規化後、階級下限）,10,0.6121,
