town,record_rank_history_total_rate,record_rank_r7_class,uniform_area_over_threshold_ratio,uniform_rank,adopted_v1_area_over_threshold_ratio,adopted_v1_rank,bldg030_area_over_threshold_ratio,bldg030_rank,bldg050_area_over_threshold_ratio,bldg050_rank,bldg070_area_over_threshold_ratio,bldg070_rank,road030_area_over_threshold_ratio,road030_rank,road050_area_over_threshold_ratio,road050_rank,road030_bldg050_area_over_threshold_ratio,road030_bldg050_rank,road050_bldg050_area_over_threshold_ratio,road050_bldg050_rank,road050_bldg070_area_over_threshold_ratio,road050_bldg070_rank
中延一丁目,,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0,0.000387,10.0
中延三丁目,7.0,9.0,0.017557,3.0,0.012428,3.0,0.012625,4.0,0.012034,4.0,0.011836,4.0,0.010455,4.0,0.010061,4.0,0.009864,5.0,0.009864,5.0,0.009469,5.0
中延二丁目,6.0,7.5,0.008351,8.0,0.006817,8.0,0.006135,8.0,0.006306,8.0,0.006817,8.0,0.006306,9.0,0.004601,9.0,0.005965,8.0,0.004601,8.0,0.004601,8.0
中延五丁目,2.0,3.5,0.013695,5.0,0.01076,6.0,0.007686,7.0,0.008944,7.0,0.01076,5.0,0.009223,6.0,0.009363,6.0,0.008664,7.0,0.008245,7.0,0.010061,4.0
中延六丁目,1.0,5.5,0.03506,2.0,0.026454,2.0,0.030598,2.0,0.031235,2.0,0.030438,2.0,0.029163,2.0,0.029323,2.0,0.032669,2.0,0.032351,2.0,0.032032,2.0
中延四丁目,9.0,7.5,0.011306,7.0,0.0102,7.0,0.008357,6.0,0.009463,6.0,0.009586,6.0,0.009955,5.0,0.009586,5.0,0.009832,6.0,0.009463,6.0,0.009217,7.0
二葉一丁目,5.0,1.5,0.017494,4.0,0.012365,4.0,0.014838,3.0,0.014197,3.0,0.012914,3.0,0.014105,3.0,0.013647,3.0,0.013647,3.0,0.013281,3.0,0.013556,3.0
二葉三丁目,3.0,1.5,0.051361,1.0,0.044024,1.0,0.047387,1.0,0.05182,1.0,0.050903,1.0,0.04112,1.0,0.041272,1.0,0.050444,1.0,0.05075,1.0,0.050444,1.0
二葉二丁目,4.0,3.5,0.007388,9.0,0.006797,9.0,0.002807,9.0,0.002955,9.0,0.003103,9.0,0.006649,8.0,0.006649,8.0,0.00266,9.0,0.002807,9.0,0.003251,9.0
二葉四丁目,8.0,5.5,0.012463,6.0,0.011229,5.0,0.009748,5.0,0.010242,5.0,0.009378,7.0,0.008761,7.0,0.008638,7.0,0.009995,4.0,0.009872,4.0,0.009378,6.0
