run,peak_stored_volume_m3,peak_ponded_area_m2,peak_maximum_depth_m
uniform,247987.94606957244,1903672.123509463,7.320000648498535
adopted_v1,213479.57062918865,1838738.8653434515,7.320000648498535
bldg030,163249.0998540817,1160325.9869197458,7.320000648498535
bldg050,174105.27818947856,1275300.9394404516,7.320000648498535
bldg070,184110.94690091396,1405150.970841024,7.470000267028809
road030,209337.06929838983,1831452.6159174778,7.320000648498535
road050,208770.0803423295,1832792.4146723822,7.320000648498535
road030_bldg050,172348.25081421412,1268390.9795104004,7.320000648498535
road050_bldg050,172076.23706083786,1269520.0599275678,7.320000648498535
road050_bldg070,181103.52109105984,1399370.0748276897,7.320000648498535
