step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,208770.0803423295,1832792.4146723822,1462544.6883110222,0.0,1253774.6079686938,-1.0477378964424133e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,130743.27759094628,1139066.1907690614,0.0,78026.80275138319,0.0,-2.9103830456733704e-11
14,840.0,60.0,23.3478260869565,7.220000743865967,88030.56307855365,360964.03444088995,0.0,42712.71451239264,0.0,0.0
15,900.0,60.0,23.3478260869565,7.1700005531311035,72114.44557674184,235208.09294796363,0.0,15916.117501811812,0.0,1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.120000839233398,61530.46930222167,164027.5142186433,0.0,10583.976274520168,0.0,-7.275957614183426e-12
17,1020.0,60.0,23.3478260869565,7.070000648498535,54132.59740018028,118786.17596443743,0.0,7397.8719020413955,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,48610.96329558287,91099.7725782767,0.0,5521.634104597409,0.0,-1.4551915228366852e-11
19,1140.0,60.0,23.3478260869565,6.970000743865967,44307.70553397774,74854.89801549911,0.0,4303.257761605127,0.0,0.0
20,1200.0,60.0,23.3478260869565,6.9200005531311035,40778.50883613638,60928.593292508274,0.0,3529.1966978413584,0.0,7.275957614183426e-12
21,1260.0,60.0,23.3478260869565,6.870000839233398,37856.53504330328,52512.60852055997,0.0,2921.973792833101,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,35369.094578438206,44668.99799577519,0.0,2487.4404648650766,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,33216.72367301768,39776.100351803005,0.0,2152.3709054205174,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.720000743865967,31286.81857506946,35681.16699035093,0.0,1929.9050979482245,0.0,3.637978807091713e-12
