step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,181103.52109105984,1399370.0748276897,1462544.6883110222,0.0,1281441.1672199655,-3.1141098588705063e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,121640.61504717333,862150.0177131183,0.0,59462.906043886534,0.0,0.0
14,840.0,60.0,23.3478260869565,7.220000743865967,87744.85298342549,384710.31647343934,0.0,33895.76206374784,0.0,1.4551915228366852e-11
15,900.0,60.0,23.3478260869565,7.1700005531311035,70379.97276993982,268438.43140985817,0.0,17364.880213485667,0.0,0.0
16,960.0,60.0,23.3478260869565,7.120000839233398,59276.59010509704,166482.43171335012,0.0,11103.382664842777,0.0,0.0
17,1020.0,60.0,23.3478260869565,7.070000648498535,51691.15478838184,118003.8669147268,0.0,7585.4353167152,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,46158.56972301973,91491.72584383562,0.0,5532.585065362109,0.0,0.0
19,1140.0,60.0,23.3478260869565,6.970000743865967,41853.11269401039,73665.89095681533,0.0,4305.457029009343,0.0,-7.275957614183426e-12
20,1200.0,60.0,23.3478260869565,6.9200005531311035,38365.503004656624,60943.95020375401,0.0,3487.609689353768,0.0,0.0
21,1260.0,60.0,23.3478260869565,6.870000839233398,35463.386367167346,51850.55150997266,0.0,2902.116637489282,0.0,7.275957614183426e-12
22,1320.0,60.0,23.3478260869565,6.820000648498535,32985.7029893843,44398.203784026206,0.0,2477.6833777830416,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,30852.239178770054,39113.902046676725,0.0,2133.463810614244,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.720000743865967,28964.80025074014,34341.383070316166,0.0,1887.4389280299192,0.0,-3.637978807091713e-12
