step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,216678.37705920628,1838934.9798686877,1602041.0645778636,0.0,1385362.6875186586,-1.3096723705530167e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,138381.3572971697,1143477.3771169372,0.0,78297.01976203657,0.0,2.9103830456733704e-11
14,840.0,60.0,23.3478260869565,7.220000743865967,91678.30582731732,373369.8286929056,0.0,46703.05146985239,0.0,-2.9103830456733704e-11
15,900.0,60.0,23.3478260869565,7.1700005531311035,75188.07061336581,251317.6492443569,0.0,16490.23521395152,0.0,-1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.120000839233398,64042.95001573572,170155.08932544664,0.0,11145.12059763008,0.0,0.0
17,1020.0,60.0,23.3478260869565,7.070000648498535,56300.78770313824,125982.64974109456,0.0,7742.162312597476,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,50498.79113643551,95420.73949592933,0.0,5801.996566702734,0.0,7.275957614183426e-12
19,1140.0,60.0,23.3478260869565,6.970000743865967,45985.08244931053,78182.0835497193,0.0,4513.70868712498,0.0,0.0
20,1200.0,60.0,23.3478260869565,6.9200005531311035,42294.505486248774,63804.041502226144,0.0,3690.5769630617588,0.0,0.0
21,1260.0,60.0,23.3478260869565,6.870000839233398,39238.42020996061,54785.99785441905,0.0,3056.08527628816,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,36643.83472289262,46641.239610444754,0.0,2594.585487067997,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,34399.96109435157,41266.569327145815,0.0,2243.873628541047,0.0,-7.275957614183426e-12
24,1440.0,60.0,23.3478260869565,6.720000743865967,32396.234868600972,37156.570179864764,0.0,2003.7262257505968,0.0,3.637978807091713e-12
