step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,200392.82794402464,1827282.3312576264,1324522.8755807718,0.0,1124130.0476367478,-6.402842700481415e-10
13,780.0,60.0,23.3478260869565,7.270000457763672,122607.00495425967,1134940.9583980925,0.0,77785.82298976497,0.0,0.0
14,840.0,60.0,23.3478260869565,7.220000743865967,84122.77127608814,349446.41211191565,0.0,38484.23367817154,0.0,-1.4551915228366852e-11
15,900.0,60.0,23.3478260869565,7.1700005531311035,68858.41608842496,220890.0956599936,0.0,15264.355187663166,0.0,1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.120000839233398,58803.35931801048,154903.83521455526,0.0,10055.056770414487,0.0,-7.275957614183426e-12
17,1020.0,60.0,23.3478260869565,7.070000648498535,51839.135272753,113321.10403012112,0.0,6964.2240452574715,0.0,7.275957614183426e-12
18,1080.0,60.0,23.3478260869565,7.020000457763672,46578.632845999266,86357.29224788398,0.0,5260.502426753738,0.0,0.0
19,1140.0,60.0,23.3478260869565,6.970000743865967,42488.12654921459,71196.41389217973,0.0,4090.5062967846725,0.0,-7.275957614183426e-12
20,1200.0,60.0,23.3478260869565,6.9200005531311035,39126.76878999453,58308.89866266027,0.0,3361.3577592200636,0.0,0.0
21,1260.0,60.0,23.3478260869565,6.870000839233398,36328.20998567216,50148.913272187114,0.0,2798.5588043223624,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,33946.33097177401,42967.734374757856,0.0,2381.879013898159,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,31880.017661095404,38180.285584870726,0.0,2066.313310678607,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.720000743865967,30029.638861979303,34220.85070668906,0.0,1850.3787991161,0.0,3.637978807091713e-12
