step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,6.149998664855957,180009.8963933119,1729121.207385648,1025449.7212426736,0.0,845439.8248493617,0.0
13,780.0,60.0,23.3478260869565,6.099998474121094,108945.27634573547,902570.3327137828,0.0,71064.62004757643,0.0,0.0
14,840.0,60.0,23.3478260869565,6.049998760223389,74698.25656117339,311507.73587177694,0.0,34247.01978456208,0.0,-1.4551915228366852e-11
15,900.0,60.0,23.3478260869565,5.999998569488525,61152.78421365841,196952.62991744652,0.0,13545.47234751499,0.0,0.0
16,960.0,60.0,23.3478260869565,5.94999885559082,52300.094840932295,135271.88263536245,0.0,8852.689372726112,0.0,0.0
17,1020.0,60.0,23.3478260869565,5.899998664855957,46183.57885793741,100207.97379307449,0.0,6116.515982994883,0.0,7.275957614183426e-12
18,1080.0,60.0,23.3478260869565,5.849998474121094,41530.250780882365,76767.19085371122,0.0,4653.328077055052,0.0,-7.275957614183426e-12
19,1140.0,60.0,23.3478260869565,5.799998760223389,37893.47596688328,63322.6559589766,0.0,3636.7748139990863,0.0,0.0
20,1200.0,60.0,23.3478260869565,5.749998569488525,34898.42181644385,52046.05243496224,0.0,2995.054150439424,0.0,-7.275957614183426e-12
21,1260.0,60.0,23.3478260869565,5.69999885559082,32406.19493235664,44714.056218490005,0.0,2492.226884087216,0.0,0.0
22,1320.0,60.0,23.3478260869565,5.649998664855957,30280.995821154094,38210.36946384236,0.0,2125.199111202539,0.0,3.637978807091713e-12
23,1380.0,60.0,23.3478260869565,5.599998474121094,28440.69949032884,33904.613049417734,0.0,1840.2963308252592,0.0,0.0
24,1440.0,60.0,23.3478260869565,5.549998760223389,26793.440410489533,30426.939098786563,0.0,1647.2590798393016,0.0,0.0
