town,class_label,class_ordinal,confidence,source_note
中延一丁目,0件,0,confirmed,PDF凡例上は白/淡青の判別が難しいが31年実績も0棟で整合。独立検証でラベル未確認だが妥当性高い
中延二丁目,6-15件,2,confirmed,独立検証（本セッション）でラベル文字を直接確認
中延三丁目,1-5件,1,uncertain,naisui-f4のRGBピクセルサンプリングによる分類。独立検証ではラベル文字が原資料の解像度限界で判読不能。周辺ピクセルは6-15件クラスの値を示したが境界誤差で二・四丁目を拾った可能性を排除できず「未確定」
中延四丁目,6-15件,2,confirmed,独立検証（本セッション）でラベル文字を直接確認
中延五丁目,51-75件,5,confirmed,独立検証（本セッション）でラベル文字を直接確認
中延六丁目,31-50件,4,confirmed,独立検証（本セッション）でラベル文字を直接確認
二葉一丁目,76-110件,6,confirmed,独立検証（本セッション）でラベル文字を直接確認
二葉二丁目,51-75件,5,confirmed,独立検証（本セッション）でラベル文字を直接確認
二葉三丁目,76-110件,6,confirmed,独立検証（本セッション）でラベル文字を直接確認
二葉四丁目,31-50件,4,confirmed,独立検証（本セッション）でラベル文字を直接確認
