scenario_id,elapsed_time_min,duration_min,rainfall_mm_hr,runoff_coefficient,equivalent_drainage_capacity_mm_hr,description
sc_153mmh_24h_690mm_official,0,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（1時間目）
sc_153mmh_24h_690mm_official,60,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（2時間目）
sc_153mmh_24h_690mm_official,120,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（3時間目）
sc_153mmh_24h_690mm_official,180,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（4時間目）
sc_153mmh_24h_690mm_official,240,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（5時間目）
sc_153mmh_24h_690mm_official,300,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（6時間目）
sc_153mmh_24h_690mm_official,360,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（7時間目）
sc_153mmh_24h_690mm_official,420,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（8時間目）
sc_153mmh_24h_690mm_official,480,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（9時間目）
sc_153mmh_24h_690mm_official,540,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（10時間目）
sc_153mmh_24h_690mm_official,600,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（11時間目）
sc_153mmh_24h_690mm_official,660,60,153.0,1.0,50.0,想定最大規模降雨の最大1時間雨量
sc_153mmh_24h_690mm_official,720,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（13時間目）
sc_153mmh_24h_690mm_official,780,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（14時間目）
sc_153mmh_24h_690mm_official,840,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（15時間目）
sc_153mmh_24h_690mm_official,900,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（16時間目）
sc_153mmh_24h_690mm_official,960,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（17時間目）
sc_153mmh_24h_690mm_official,1020,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（18時間目）
sc_153mmh_24h_690mm_official,1080,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（19時間目）
sc_153mmh_24h_690mm_official,1140,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（20時間目）
sc_153mmh_24h_690mm_official,1200,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（21時間目）
sc_153mmh_24h_690mm_official,1260,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（22時間目）
sc_153mmh_24h_690mm_official,1320,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（23時間目）
sc_153mmh_24h_690mm_official,1380,60,23.3478260869565,1.0,50.0,想定最大規模降雨の暫定配分（24時間目）
